claim_id,claim_title,perspective,p_title,paraphrase_perspective,para_title,vote_yes,vote_no
320,Leaving the EU would increase British security,2369,A nation state can only rely on itself for security,23108,UK will renew its self-reliance in security.,2,0
320,Leaving the EU would increase British security,2369,A nation state can only rely on itself for security,23109,Security changes to arise when UK leaves EU.,2,0
320,Leaving the EU would increase British security,2369,A nation state can only rely on itself for security,23110,A nation state has only themselves to look out for them,2,0
320,Leaving the EU would increase British security,2369,A nation state can only rely on itself for security,23111,A nation state can only expect itself to be able to protect the people,2,0
320,Leaving the EU would increase British security,2370,The EU causes instability,23114,Leaving the EU means leaving the instability that was there,2,0
320,Leaving the EU would increase British security,2370,The EU causes instability,23115,Being involved with the EU causes instability,2,0
320,Leaving the EU would increase British security,2370,The EU causes instability,23112,UK security to increase upon leaving EU.,1,1
320,Leaving the EU would increase British security,2370,The EU causes instability,23113,EU's instability no longer an issue when UK leaves.,1,1
320,Leaving the EU would increase British security,2373,Security is better shared,23116,UK security strongest when shared with EU.,2,0
320,Leaving the EU would increase British security,2373,Security is better shared,23117,Leaving EU would weaken UK security.,2,0
320,Leaving the EU would increase British security,2373,Security is better shared,23118,Security is stronger when there are others involved,2,0
320,Leaving the EU would increase British security,2373,Security is better shared,23119,It is better protection when others are also sharing some of that responsibility,2,0
320,Leaving the EU would increase British security,2374,Leaving will mean less communication with other security services,23120,Leaving EU would weaken UK security.,2,0
320,Leaving the EU would increase British security,2374,Leaving will mean less communication with other security services,23122,Leaving the EU would mean leaving their security services too,2,0
320,Leaving the EU would increase British security,2374,Leaving will mean less communication with other security services,23123,"By leaving the EU, they would lose the security they had shared",2,0
320,Leaving the EU would increase British security,2374,Leaving will mean less communication with other security services,23121,"Outside of EU, UK interests would weaken.",1,1
321,UK should have a second Brexit referendum before leaving the EU,2380,Other countries have had second referendums,23124,Other countries have had second popular votes.,2,0
321,UK should have a second Brexit referendum before leaving the EU,2380,Other countries have had second referendums,23125,Second referendums have been done in other countries.,2,0
321,UK should have a second Brexit referendum before leaving the EU,2382,A referendum could not provide the nuanced policy the UK needs,23126,"Even though the UK needs it , a direct vote couldn't provide the subtle policy. ",2,0
321,UK should have a second Brexit referendum before leaving the EU,2382,A referendum could not provide the nuanced policy the UK needs,23127,A referendum couldn't produce the nuanced policy that the UK needed.,2,0
321,UK should have a second Brexit referendum before leaving the EU,2383,Britain should honour the 2016 vote,23128,The 2016 vote in Britain should be upheld.,2,0
321,UK should have a second Brexit referendum before leaving the EU,2383,Britain should honour the 2016 vote,23129,Britain should implement the vote in 2016.,2,0
321,UK should have a second Brexit referendum before leaving the EU,2384,There is no time to hold a second referendum,23130,We are out of time to hold a second referedum.,2,0
321,UK should have a second Brexit referendum before leaving the EU,2384,There is no time to hold a second referendum,23131,There is no time left to have a second direct vote.,2,0
487,A permanent UNSC seat with veto power must be reserved to an African country,3619,More vetoes mean less action,24032,An african voice can stop vetos from happening so much,1,1
487,A permanent UNSC seat with veto power must be reserved to an African country,3619,More vetoes mean less action,24033,it is easy to do nothing and veto with no african voice in the mix.,2,0
487,A permanent UNSC seat with veto power must be reserved to an African country,3619,More vetoes mean less action,24034,"If we give too many countries the ability to veto, then less will get done.",2,0
487,A permanent UNSC seat with veto power must be reserved to an African country,3619,More vetoes mean less action,24035,More veto power means it will be harder to reach agreements,1,1
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3623,Decriminalising increses sex workers’ rights.,24036,legalizing sex work makes the workers safer,2,0
488,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,3623,Decriminalising increses sex workers’ rights.,24037,sex work can be regulated if made legal,2,0
