,claim,perspective,_S,_A,_B,_U,N,S,U,gold,pred,total_vote,maj_vote,source
0,58,430,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,original
1,58,431,2,0,0,1,0,2,1,S,"['S', 'U']",3,S,original
2,58,432,1,0,1,1,0,1,2,N ,"['U', 'S']",3,U,original
3,58,433,2,0,1,0,0,2,1,S,"['S', 'U']",3,S,original
4,58,434,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
5,58,435,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
6,58,436,0,0,1,2,0,0,3,U,"['U', 'S']",3,U,original
7,58,437,0,0,0,3,0,0,3,U,"['U', 'S']",3,U,original
8,58,9034,1,0,0,0,3,1,0,N,"['N', 'S']",4,N,google
9,58,9326,0,0,2,0,2,0,2,N,"['U', 'N']",4,NULL,google
10,58,9343,0,0,0,0,4,0,0,N,"['N', 'S']",4,N,google
11,58,9344,1,2,0,1,0,3,1,U,"['S', 'U']",4,S,google
12,58,9345,1,0,1,0,2,1,1,N,"['N', 'S']",4,N,google
13,58,9346,0,0,0,0,4,0,0,N,"['N', 'S']",4,N,google
14,58,9347,0,0,0,0,4,0,0,N,"['N', 'S']",4,N,google
15,58,9348,1,0,0,0,3,1,0,N,"['N', 'S']",4,N,google
16,58,9349,0,0,0,0,4,0,0,N,"['N', 'S']",4,N,google
17,58,9350,0,0,0,0,4,0,0,N,"['N', 'S']",4,N,google
18,67,503,5,0,0,0,0,5,0,S,"['S', 'U']",5,S,original
19,67,504,4,1,0,0,0,5,0,S,"['S', 'U']",5,S,original
20,67,505,3,1,0,0,1,4,0,S,"['S', 'N']",5,S,original
21,67,506,0,0,1,4,0,0,5,U,"['U', 'S']",5,U,original
22,67,507,1,0,1,3,0,1,4,U,"['U', 'S']",5,U,original
23,67,508,0,0,1,4,0,0,5,U,"['U', 'S']",5,U,original
24,67,8850,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
25,67,9477,0,2,0,1,0,2,1,U,"['S', 'U']",3,S,google
26,67,9507,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
27,67,9508,1,0,0,0,2,1,0,N,"['N', 'S']",3,N,google
28,67,9509,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
29,67,9510,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
30,67,9511,0,2,0,1,0,2,1,N,"['S', 'U']",3,S,google
31,67,9512,0,0,1,0,2,0,1,N,"['N', 'U']",3,N,google
32,67,9513,0,1,1,0,1,1,1,N,"['S', 'U']",3,NULL,google
33,67,9514,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
34,67,9515,1,0,1,0,1,1,1,N,"['S', 'U']",3,NULL,google
35,67,9516,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
36,67,9517,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
37,67,9518,0,0,0,0,3,0,0,N,"['N', 'S']",3,N,google
38,67,9519,3,0,0,0,0,3,0,N ,"['S', 'U']",3,S,google
39,67,9520,0,2,0,1,0,2,1,U,"['S', 'U']",3,S,google
40,67,9521,0,0,0,1,2,0,1,N,"['N', 'U']",3,N,google
41,67,9522,0,3,0,0,0,3,0,U,"['S', 'U']",3,S,google
42,67,9523,0,1,0,0,2,1,0,N,"['N', 'S']",3,N,google
