claim,perspective,Support,Leaning Support,Leaning Undermine,Undermine,Not Valid,Support + Leaning Support,Undermine + Leaning Undermine,total_vote,gold,maj_vote,source,pi
58,430,2,0,1,0,0,2,1,3,S,S,original,0.3333333333
58,431,2,0,0,1,0,2,1,3,S,S,original,0.3333333333
58,432,1,0,1,1,0,1,2,3,N,U,original,0.3333333333
58,433,2,0,1,0,0,2,1,3,S,S,original,0.3333333333
58,434,0,0,0,3,0,0,3,3,U,U,original,1
58,435,0,0,0,3,0,0,3,3,U,U,original,1
58,436,0,0,1,2,0,0,3,3,U,U,original,1
58,437,0,0,0,3,0,0,3,3,U,U,original,1
58,9034,1,0,0,0,3,1,0,4,N,N,google,0.5
58,9326,0,0,2,0,2,0,2,4,N,NULL,google,0.3333333333
58,9343,0,0,0,0,4,0,0,4,N,N,google,1
58,9344,1,2,0,1,0,3,1,4,U,S,google,0.5
58,9345,1,0,1,0,2,1,1,4,N,N,google,0.1666666667
58,9346,0,0,0,0,4,0,0,4,N,N,google,1
58,9347,0,0,0,0,4,0,0,4,N,N,google,1
58,9348,1,0,0,0,3,1,0,4,N,N,google,0.5
58,9349,0,0,0,0,4,0,0,4,N,N,google,1
58,9350,0,0,0,0,4,0,0,4,N,N,google,1
67,503,5,0,0,0,0,5,0,5,S,S,original,1
67,504,4,1,0,0,0,5,0,5,S,S,original,1
67,505,3,1,0,0,1,4,0,5,S,S,original,0.6
67,506,0,0,1,4,0,0,5,5,U,U,original,1
67,507,1,0,1,3,0,1,4,5,U,U,original,0.6
67,508,0,0,1,4,0,0,5,5,U,U,original,1
67,8850,0,0,1,0,2,0,1,3,N,N,google,0.3333333333
67,9477,0,2,0,1,0,2,1,3,U,S,google,0.3333333333
67,9507,0,0,1,0,2,0,1,3,N,N,google,0.3333333333
67,9508,1,0,0,0,2,1,0,3,N,N,google,0.3333333333
67,9509,0,0,1,0,2,0,1,3,N,N,google,0.3333333333
67,9510,0,0,1,0,2,0,1,3,N,N,google,0.3333333333
67,9511,0,2,0,1,0,2,1,3,N,S,google,0.3333333333
67,9512,0,0,1,0,2,0,1,3,N,N,google,0.3333333333
67,9513,0,1,1,0,1,1,1,3,N,NULL,google,0
67,9514,0,0,0,1,2,0,1,3,N,N,google,0.3333333333
67,9515,1,0,1,0,1,1,1,3,N,NULL,google,0
67,9516,0,0,0,0,3,0,0,3,N,N,google,1
67,9517,0,0,0,1,2,0,1,3,N,N,google,0.3333333333
67,9518,0,0,0,0,3,0,0,3,N,N,google,1
67,9519,3,0,0,0,0,3,0,3,N,S,google,1
67,9520,0,2,0,1,0,2,1,3,U,S,google,0.3333333333
67,9521,0,0,0,1,2,0,1,3,N,N,google,0.3333333333
67,9522,0,3,0,0,0,3,0,3,U,S,google,1
