,claim,perspective,sup_x,lsup_x,lund_x,und_x,ns,sup_y,lsup_y,lund_y,und_y,not_valid,P_i_3_labels
0,983,7878,0,0,0,0,2,0,0,0,2,0,1.0
1,983,7876,1,1,0,0,0,2,0,0,0,0,1.0
2,983,7877,0,0,0,2,0,0,0,0,1,1,0.0
3,989,7916,0,0,0,2,0,1,0,0,2,0,0.3333333333
4,989,7914,0,0,0,2,0,0,0,0,3,0,1.0
5,989,7910,1,0,0,0,1,3,0,0,0,0,1.0
6,989,7912,0,0,0,1,1,0,0,0,2,1,0.3333333333
7,989,7913,0,0,0,2,0,1,0,0,2,0,0.3333333333
8,989,7917,0,0,0,2,0,0,0,0,3,0,1.0
9,989,7915,0,0,1,1,0,0,0,1,2,0,1.0
10,989,7911,0,0,0,0,2,0,1,0,1,1,0.0
11,955,7639,0,0,0,0,2,0,2,0,0,0,1.0
12,955,7640,0,0,0,2,0,0,0,0,2,0,1.0
13,955,7638,0,1,0,0,1,1,0,0,0,1,0.0
14,875,7097,0,0,0,2,0,0,0,0,1,2,0.3333333333
15,875,7095,1,0,0,1,0,0,1,0,2,0,0.3333333333
16,875,7093,0,0,2,0,0,0,0,0,3,0,1.0
17,875,7096,0,0,0,2,0,0,0,0,3,0,1.0
18,875,7092,0,0,0,1,1,0,0,0,3,0,1.0
19,875,7094,0,0,1,1,0,0,0,0,2,1,0.3333333333
20,875,7098,0,0,1,1,0,0,0,0,1,2,0.3333333333
21,462,3440,1,1,0,0,0,1,1,1,0,0,0.3333333333
22,462,3446,0,0,0,2,0,0,0,1,2,0,1.0
23,462,3444,0,0,0,2,0,1,1,0,1,0,0.3333333333
24,462,3445,0,0,0,2,0,0,3,0,0,0,1.0
25,462,3442,0,1,1,0,0,0,2,1,0,0,0.3333333333
26,462,3443,2,0,0,0,0,2,1,0,0,0,1.0
27,462,3441,0,1,1,0,0,0,2,0,1,0,0.3333333333
28,58,437,0,0,0,2,0,0,0,0,3,0,1.0
29,58,432,1,0,0,0,1,1,0,1,1,0,0.3333333333
30,58,430,2,0,0,0,0,2,0,1,0,0,0.3333333333
31,58,435,0,0,1,1,0,0,0,0,3,0,1.0
32,58,436,0,0,2,0,0,0,0,1,2,0,1.0
33,58,434,0,0,0,2,0,0,0,0,3,0,1.0
34,58,433,2,0,0,0,0,2,0,1,0,0,0.3333333333
35,58,431,1,1,0,0,0,2,0,0,1,0,0.3333333333
36,929,7515,0,0,1,0,1,1,1,0,0,1,0.3333333333
37,929,7516,0,0,0,0,2,1,0,1,0,1,0.0
38,929,7513,1,1,0,0,0,2,1,0,0,0,1.0
39,929,7512,2,0,0,0,0,3,0,0,0,0,1.0
40,929,7517,0,0,0,0,2,1,0,0,2,0,0.3333333333
41,929,7514,0,0,2,0,0,0,0,0,3,0,1.0
42,67,506,0,0,0,2,0,0,0,1,4,0,1.0
43,67,504,1,1,0,0,0,4,1,0,0,0,1.0
44,67,507,0,0,2,0,0,1,0,1,3,0,0.6
45,67,508,0,0,0,2,0,0,0,1,4,0,1.0
46,67,503,2,0,0,0,0,5,0,0,0,0,1.0
47,67,505,1,0,0,0,1,3,1,0,0,1,0.6
48,581,4603,0,0,2,0,0,0,0,2,1,0,1.0
49,581,4590,0,0,1,0,1,0,0,0,1,2,0.3333333333
50,581,4586,2,0,0,0,0,1,2,0,0,0,1.0
51,581,4581,2,0,0,0,0,2,1,0,0,0,1.0
52,581,4585,1,1,0,0,0,2,1,0,0,0,1.0
53,581,4593,0,0,0,2,0,0,0,1,2,0,1.0
54,581,4605,0,0,2,0,0,0,0,1,1,1,0.3333333333
55,581,4572,2,0,0,0,0,3,0,0,0,0,1.0
56,581,4599,0,0,0,2,0,0,0,0,3,0,1.0
57,581,4574,2,0,0,0,0,3,0,0,0,0,1.0
58,581,4606,0,0,0,2,0,0,0,0,3,0,1.0
59,581,4589,2,0,0,0,0,3,0,0,0,0,1.0
60,581,4604,0,0,0,1,1,0,1,0,1,1,0.0
61,581,4592,0,0,0,2,0,0,0,0,3,0,1.0
62,581,4611,0,0,0,2,0,0,0,1,2,0,1.0
63,581,4584,2,0,0,0,0,3,0,0,0,0,1.0
