perspective_id,evidence_id,evidence,perspective,sihao_label,daniel_label,Agreed,Adjudicated
430,427,"Cultural treasures should be displayed in the context in which they originated; only then can they be truly valued and understood. In the case of the Parthenon marbles this is an architectural context which only proximity to the Parthenon itself can provide. In the British Museum they appear as mere disconnected fragments, stripped of any emotional meaning. It may also be useful for academics to have a cultural property in its original context in order to be able to understand it, for example a carved door may be a beautiful artefact but it cannot be truly understood unless we know what the door was used for, where it leads too something for which it is necessary to see the context. Cultural and historical tourism is an important source of income for many countries, and is especially important for developing countries. If their artefacts have been appropriated by foreign museums in wealthy nations then they are being deprived of the economic opportunity to build a successful tourist trade. Both the treasures themselves are being devalued as is the experience of seeing the treasures.",Cultural artefacts are enriched when displayed in the context from which they originated,S,S,Yes1,S
437,427,"Cultural treasures should be displayed in the context in which they originated; only then can they be truly valued and understood. In the case of the Parthenon marbles this is an architectural context which only proximity to the Parthenon itself can provide. In the British Museum they appear as mere disconnected fragments, stripped of any emotional meaning. It may also be useful for academics to have a cultural property in its original context in order to be able to understand it, for example a carved door may be a beautiful artefact but it cannot be truly understood unless we know what the door was used for, where it leads too something for which it is necessary to see the context. Cultural and historical tourism is an important source of income for many countries, and is especially important for developing countries. If their artefacts have been appropriated by foreign museums in wealthy nations then they are being deprived of the economic opportunity to build a successful tourist trade. Both the treasures themselves are being devalued as is the experience of seeing the treasures.","In many cases, returning an artefact may prove to be unreasonably expensive",N,N,Yes1,N
435,427,"Cultural treasures should be displayed in the context in which they originated; only then can they be truly valued and understood. In the case of the Parthenon marbles this is an architectural context which only proximity to the Parthenon itself can provide. In the British Museum they appear as mere disconnected fragments, stripped of any emotional meaning. It may also be useful for academics to have a cultural property in its original context in order to be able to understand it, for example a carved door may be a beautiful artefact but it cannot be truly understood unless we know what the door was used for, where it leads too something for which it is necessary to see the context. Cultural and historical tourism is an important source of income for many countries, and is especially important for developing countries. If their artefacts have been appropriated by foreign museums in wealthy nations then they are being deprived of the economic opportunity to build a successful tourist trade. Both the treasures themselves are being devalued as is the experience of seeing the treasures.",The historical significance of artefacts extends beyond their culture of origin,S,N,No1,N
18,427,"Cultural treasures should be displayed in the context in which they originated; only then can they be truly valued and understood. In the case of the Parthenon marbles this is an architectural context which only proximity to the Parthenon itself can provide. In the British Museum they appear as mere disconnected fragments, stripped of any emotional meaning. It may also be useful for academics to have a cultural property in its original context in order to be able to understand it, for example a carved door may be a beautiful artefact but it cannot be truly understood unless we know what the door was used for, where it leads too something for which it is necessary to see the context. Cultural and historical tourism is an important source of income for many countries, and is especially important for developing countries. If their artefacts have been appropriated by foreign museums in wealthy nations then they are being deprived of the economic opportunity to build a successful tourist trade. Both the treasures themselves are being devalued as is the experience of seeing the treasures.",Trade provides developing countries with an important basis for their own improvement.,N,N,Yes1,N
5544,427,"Cultural treasures should be displayed in the context in which they originated; only then can they be truly valued and understood. In the case of the Parthenon marbles this is an architectural context which only proximity to the Parthenon itself can provide. In the British Museum they appear as mere disconnected fragments, stripped of any emotional meaning. It may also be useful for academics to have a cultural property in its original context in order to be able to understand it, for example a carved door may be a beautiful artefact but it cannot be truly understood unless we know what the door was used for, where it leads too something for which it is necessary to see the context. Cultural and historical tourism is an important source of income for many countries, and is especially important for developing countries. If their artefacts have been appropriated by foreign museums in wealthy nations then they are being deprived of the economic opportunity to build a successful tourist trade. Both the treasures themselves are being devalued as is the experience of seeing the treasures.",Artefacts are enriched by being viewed in their place of origin,S,S,Yes1,S
1307,427,"Cultural treasures should be displayed in the context in which they originated; only then can they be truly valued and understood. In the case of the Parthenon marbles this is an architectural context which only proximity to the Parthenon itself can provide. In the British Museum they appear as mere disconnected fragments, stripped of any emotional meaning. It may also be useful for academics to have a cultural property in its original context in order to be able to understand it, for example a carved door may be a beautiful artefact but it cannot be truly understood unless we know what the door was used for, where it leads too something for which it is necessary to see the context. Cultural and historical tourism is an important source of income for many countries, and is especially important for developing countries. If their artefacts have been appropriated by foreign museums in wealthy nations then they are being deprived of the economic opportunity to build a successful tourist trade. Both the treasures themselves are being devalued as is the experience of seeing the treasures.",Free museums encourage attendance,N,N,Yes1,N
1306,427,"Cultural treasures should be displayed in the context in which they originated; only then can they be truly valued and understood. In the case of the Parthenon marbles this is an architectural context which only proximity to the Parthenon itself can provide. In the British Museum they appear as mere disconnected fragments, stripped of any emotional meaning. It may also be useful for academics to have a cultural property in its original context in order to be able to understand it, for example a carved door may be a beautiful artefact but it cannot be truly understood unless we know what the door was used for, where it leads too something for which it is necessary to see the context. Cultural and historical tourism is an important source of income for many countries, and is especially important for developing countries. If their artefacts have been appropriated by foreign museums in wealthy nations then they are being deprived of the economic opportunity to build a successful tourist trade. Both the treasures themselves are being devalued as is the experience of seeing the treasures.",Museums are a crucial source of inspiration and education,N,N,Yes1,N
436,427,"Cultural treasures should be displayed in the context in which they originated; only then can they be truly valued and understood. In the case of the Parthenon marbles this is an architectural context which only proximity to the Parthenon itself can provide. In the British Museum they appear as mere disconnected fragments, stripped of any emotional meaning. It may also be useful for academics to have a cultural property in its original context in order to be able to understand it, for example a carved door may be a beautiful artefact but it cannot be truly understood unless we know what the door was used for, where it leads too something for which it is necessary to see the context. Cultural and historical tourism is an important source of income for many countries, and is especially important for developing countries. If their artefacts have been appropriated by foreign museums in wealthy nations then they are being deprived of the economic opportunity to build a successful tourist trade. Both the treasures themselves are being devalued as is the experience of seeing the treasures.",Artefacts should be made accessible to the largest possible number of visitors,N,N,Yes1,N
431,428,"Display of cultural treasures in Western museums may be seen as a last hangover from the imperial belief that “civilised” states such as Britain were the true cultural successors to Ancient Greece and Rome, and that the ‘barbarian’ inhabitants of those ancient regions were unable to appreciate or look after their great artistic heritage. Whether that was true in the 19th century is open to doubt; it certainly is not valid today and the display of imperial trophies in institutions such as the British Museum or the Louvre is a reminder to many developing nations of their past oppression. For instance, the British Museum is refusing to return 700 of the Benin Bronzes to Nigeria despite repeated requests by the Nigerian government . The Rosetta stone has been the subject of demands by the Egyptian government but remains in London. These artefacts become almost souvenirs of Imperialism, a way of retaining cultural ownership long after the political power of Britain has faded. Returning them would be a gesture of goodwill and cooperation. These museums refuse to return any pieces despite several demands for restitution.” From  Opoku, Kwame, ‘France returns looted artefacts to Nigeria: Beginning of a long process or an isolated act?’ 29th January 2010",Retaining artefacts is a relic of imperialist attitudes to non-occidental cultures,S,S,Yes1,S
1307,428,"Display of cultural treasures in Western museums may be seen as a last hangover from the imperial belief that “civilised” states such as Britain were the true cultural successors to Ancient Greece and Rome, and that the ‘barbarian’ inhabitants of those ancient regions were unable to appreciate or look after their great artistic heritage. Whether that was true in the 19th century is open to doubt; it certainly is not valid today and the display of imperial trophies in institutions such as the British Museum or the Louvre is a reminder to many developing nations of their past oppression. For instance, the British Museum is refusing to return 700 of the Benin Bronzes to Nigeria despite repeated requests by the Nigerian government . The Rosetta stone has been the subject of demands by the Egyptian government but remains in London. These artefacts become almost souvenirs of Imperialism, a way of retaining cultural ownership long after the political power of Britain has faded. Returning them would be a gesture of goodwill and cooperation. These museums refuse to return any pieces despite several demands for restitution.” From  Opoku, Kwame, ‘France returns looted artefacts to Nigeria: Beginning of a long process or an isolated act?’ 29th January 2010",Free museums encourage attendance,N,N,Yes1,N
