claim,perspective,sup,und,ns,suporting (scaled),undermining (scaled),not sure (scaled),P_i ,Total ,id,source,title
1,5,4,0,0,3.0,0.0,0.0,1.0,4,1,idebate,The use of child performers should be banned
1,2,4,0,0,3.0,0.0,0.0,1.0,4,1,idebate,The use of child performers should be banned
1,4,4,0,0,3.0,0.0,0.0,1.0,4,1,idebate,The use of child performers should be banned
1,7,0,4,0,0.0,3.0,0.0,1.0,4,1,idebate,The use of child performers should be banned
1,8,0,4,0,0.0,3.0,0.0,1.0,4,1,idebate,The use of child performers should be banned
1,3,4,0,0,3.0,0.0,0.0,1.0,4,1,idebate,The use of child performers should be banned
1,1,4,0,0,3.0,0.0,0.0,1.0,4,1,idebate,The use of child performers should be banned
1,9,0,4,0,0.0,3.0,0.0,1.0,4,1,idebate,The use of child performers should be banned
1,6,1,0,3,0.75,0.0,2.25,0.4375,4,1,idebate,The use of child performers should be banned
2,14,0,4,0,0.0,3.0,0.0,1.0,4,2,idebate,Celebrities should be exempt from National Service (in South Korea)
2,10,3,0,1,2.25,0.0,0.75,0.4375,4,2,idebate,Celebrities should be exempt from National Service (in South Korea)
2,15,0,3,1,0.0,2.25,0.75,0.4375,4,2,idebate,Celebrities should be exempt from National Service (in South Korea)
3,21,0,4,0,0.0,3.0,0.0,1.0,4,3,idebate,Trade is better than aid
3,18,4,0,0,3.0,0.0,0.0,1.0,4,3,idebate,Trade is better than aid
3,20,4,0,0,3.0,0.0,0.0,1.0,4,3,idebate,Trade is better than aid
3,24,0,4,0,0.0,3.0,0.0,1.0,4,3,idebate,Trade is better than aid
3,19,3,0,1,2.25,0.0,0.75,0.4375,4,3,idebate,Trade is better than aid
3,22,0,3,1,0.0,2.25,0.75,0.4375,4,3,idebate,Trade is better than aid
3,23,0,1,3,0.0,0.75,2.25,0.4375,4,3,idebate,Trade is better than aid
3,17,3,1,0,2.25,0.75,0.0,0.4375,4,3,idebate,Trade is better than aid
4,27,4,0,0,3.0,0.0,0.0,1.0,4,4,idebate,It should be allowed to have military recruitment in schools
4,26,4,0,0,3.0,0.0,0.0,1.0,4,4,idebate,It should be allowed to have military recruitment in schools
4,33,0,4,0,0.0,3.0,0.0,1.0,4,4,idebate,It should be allowed to have military recruitment in schools
4,28,4,0,0,3.0,0.0,0.0,1.0,4,4,idebate,It should be allowed to have military recruitment in schools
4,29,4,0,0,3.0,0.0,0.0,1.0,4,4,idebate,It should be allowed to have military recruitment in schools
4,32,0,4,0,0.0,3.0,0.0,1.0,4,4,idebate,It should be allowed to have military recruitment in schools
4,31,0,4,0,0.0,3.0,0.0,1.0,4,4,idebate,It should be allowed to have military recruitment in schools
4,30,4,0,0,3.0,0.0,0.0,1.0,4,4,idebate,It should be allowed to have military recruitment in schools
4,34,0,3,1,0.0,2.25,0.75,0.4375,4,4,idebate,It should be allowed to have military recruitment in schools
5,38,0,4,0,0.0,3.0,0.0,1.0,4,5,idebate,Rupert Murdoch is not a fit person to run an international media corporation
5,35,4,0,0,3.0,0.0,0.0,1.0,4,5,idebate,Rupert Murdoch is not a fit person to run an international media corporation
5,39,1,0,3,0.75,0.0,2.25,0.4375,4,5,idebate,Rupert Murdoch is not a fit person to run an international media corporation
5,37,1,0,3,0.75,0.0,2.25,0.4375,4,5,idebate,Rupert Murdoch is not a fit person to run an international media corporation
5,40,1,3,0,0.75,2.25,0.0,0.4375,4,5,idebate,Rupert Murdoch is not a fit person to run an international media corporation
5,36,1,0,3,0.75,0.0,2.25,0.4375,4,5,idebate,Rupert Murdoch is not a fit person to run an international media corporation
6,44,0,4,0,0.0,3.0,0.0,1.0,4,6,idebate,Smoking should further be restricted
6,41,4,0,0,3.0,0.0,0.0,1.0,4,6,idebate,Smoking should further be restricted
6,43,4,0,0,3.0,0.0,0.0,1.0,4,6,idebate,Smoking should further be restricted
6,46,0,4,0,0.0,3.0,0.0,1.0,4,6,idebate,Smoking should further be restricted
6,45,0,4,0,0.0,3.0,0.0,1.0,4,6,idebate,Smoking should further be restricted
7,50,4,0,0,3.0,0.0,0.0,1.0,4,7,idebate,Animals have rights.
7,56,0,4,0,0.0,3.0,0.0,1.0,4,7,idebate,Animals have rights.
7,57,0,4,0,0.0,3.0,0.0,1.0,4,7,idebate,Animals have rights.
7,48,4,0,0,3.0,0.0,0.0,1.0,4,7,idebate,Animals have rights.
